,area,id,region,title,lat,lot,full_adress,population_2010,man_2010,female_2010
85,Каа-Хемский район,1157098,Тыва ,Сизим,"51,3192221","95,9441084","Сизим, Каа-Хемский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",803,410,393
86,Тандинский район,1157165,Тыва ,Сой,"51,0104259","95,3316721","Сой, Арыг-Бажинский сумон, Тандинский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",,,
87,Овюрский район,1157127,Тыва ,Солчур,"50,7489479","92,031431","Солчур, Овюрский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",936,448,488
88,Тандинский район,1157166,Тыва ,Сосновка,"51,1453988","94,5236342","Сосновка, Тандинский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",,,
89,Сут-Хольский район,1157154,Тыва ,Суг-Аксы,"51,402248","91,278786","Суг-Аксы, Сут-Хольский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",3184,1495,1689
90,Каа-Хемский район,1157099,Тыва ,Суг-Бажи,"51,392","94,512",,,,
91,Кызылский район,1157111,Тыва ,Сукпак,"51,6473874","94,2671278","Сукпак, Кызылский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",4187,2006,2181
92,Пий-Хемский район,1157139,Тыва ,Суш,"52,0630166","94,1625176","Суш, Пий-Хемский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",494,254,240
93,Тоджинский район,1157184,Тыва ,Сыстыг-Хем,"52,6659379","95,5077889","Сыстыг-Хем, Тоджинский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",144,75,69
94,Каа-Хемский район,1157100,Тыва ,Тардам,"51,7112867","95,3244798","Тардам, Кундустугский сумон, Каа-Хемский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",786,,
95,Пий-Хемский район,1157140,Тыва ,Тарлаг,"52,0673346","93,4099547","Тарлаг, Пий-Хемский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",486,244,242
96,Дзун-Хемчикский район,1157077,Тыва ,Теве-Хая,"51,3658128","91,4509672","Теве-Хая, Дзун-Хемчикский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",1476,746,730
97,Кызылский район,1157112,Тыва ,Терлиг-Хая,"51,7104566","93,5235071","Терлиг-Хая, Кызылский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",497,246,251
98,Тоджинский район,1157185,Тыва ,Тоора-Хем,"52,4470937","96,2431634","Тоора-Хем, Азасский сумон, Тоджинский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",2932,1394,1538
99,Улуг-Хемский район,1157194,Тыва ,Торгалыг,"51,3301908","92,8239747","Торгалыг, Улуг-Хемский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",1198,599,599
100,Пий-Хемский район,1157141,Тыва ,Туран,"52,1458093","93,9186434","Туран, Пий-Хемский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",5695,2606,3089
101,Бай-Тайгинский район,1157057,Тыва ,Тээли,"51,0110954","90,2043058","Тээли, Бай-Тайгинский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",3390,1570,1820
102,Бай-Тайгинский район,1157056,Тыва ,Тээли № 2,"51,0110954","90,2043058","Тээли, Бай-Тайгинский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",,,
103,Тандинский район,1157167,Тыва ,Успенка,"51,2344759","94,2477472","Успенка, Тандинский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",424,218,206
